-6,4,30,13,-1,-5,-14,6
-7,1,-21,-7,-3,-12,-4,-9
-6,-13,-20,-5,-1,-2,-26,-16
35,-2,-2,2,3,8,-4,9
0,-3,-7,-2,-1,-3,-3,-10
-7,-15,-33,-12,-6,9,36,4
6,21,37,10,2,-10,-51,-5
-25,-53,-53,-30,-14,-4,-15,-16
1,15,43,4,-1,-11,4,1
-7,-13,-21,-13,-5,-10,8,0
26,3,40,9,6,8,20,2
7,25,68,30,9,22,24,29
-22,-29,-85,-29,-12,-32,-41,-24
1,0,-16,-6,-6,-11,-10,-7
-4,6,6,2,-3,9,19,5
11,17,21,7,4,9,22,12
1,-9,-6,0,1,-1,-1,1
-2,-12,-10,2,3,5,-5,4
-4,13,-3,3,7,7,17,12
-17,-25,-24,-10,0,-15,-4,-16
-6,12,12,0,-9,12,-20,-1
-4,17,-3,0,0,-1,-6,-2
-10,-21,-16,-8,-9,-4,-7,-5
8,10,-11,-4,0,-9,8,2
-2,-5,10,4,5,2,11,7
1,-2,2,4,2,8,-1,2
3,14,-9,-3,-1,-6,2,2
-1,0,4,0,2,5,-1,-1
-1,-34,-5,-1,1,6,10,1
1,22,13,9,0,-4,-6,0
-20,-62,-36,-16,-9,-9,-14,-8
4,36,12,-2,-11,-7,-6,0
8,-22,14,8,6,4,4,9
1,-2,-33,-12,-8,-8,-10,-18
14,12,19,0,1,5,9,-1
-9,-59,-27,-9,0,0,0,-3
3,14,-5,-1,2,-3,-6,-5
-2,-6,19,10,8,4,10,5
9,25,3,1,-2,0,2,0
-2,4,2,1,-3,0,-9,-3
1,10,5,3,1,5,27,8
-9,-21,-15,-8,-6,-5,-11,-5
17,21,22,19,21,-3,25,50
-29,-53,-30,-15,-11,17,-2,-42
17,38,5,-7,-6,-16,-4,-1
6,21,18,1,-9,3,10,9
-18,-41,-52,-22,-20,-10,3,-7
17,43,12,4,3,-3,-1,18
-3,20,11,2,0,4,5,3
-18,-26,8,-5,0,-7,-19,-7
7,24,17,8,10,14,30,6
4,-6,-7,-2,1,-2,-2,3
-6,9,15,-1,0,0,-11,-11
9,6,27,20,7,-4,-2,1
-12,-37,-76,-27,-11,0,-17,-18
7,20,19,8,2,-3,-2,-2
-8,-24,-4,-5,-5,-5,-9,1
5,3,-8,-5,3,3,7,0
-5,6,11,1,-5,-4,-13,-10
4,1,3,-2,-1,-6,-6,-2
4,4,-7,0,0,3,16,5
-23,-19,-16,-7,-5,-5,-9,-10
-3,10,16,4,-1,0,-11,-11
-1,14,-3,-2,1,-4,3,11
-8,-14,4,4,1,2,-4,-5
-5,-8,-16,-8,-3,-2,-3,-2
3,9,2,-1,0,-3,-11,-3
-2,2,21,4,0,-1,4,2
-3,2,11,5,2,2,-3,-4
5,-11,-23,-9,-1,-3,-4,1
-10,0,11,2,-1,0,6,0
10,-10,-22,-10,-1,-2,-3,0
-9,0,3,0,-1,0,-3,-7
-5,-6,-7,-1,0,-1,0,2
-3,8,16,4,0,-1,-6,-5
-1,3,-3,-1,0,-1,0,0
-1,-12,-13,-4,-4,-3,-3,0
3,2,-6,-3,1,2,1,-1
-3,-3,-3,-1,-1,-2,-4,-4
-6,-2,2,1,-1,-2,-2,-1
1,-2,-10,-3,-1,-2,4,1
-1,-2,3,-1,-1,-2,-2,-2
3,1,8,2,-2,-2,-2,-2
-3,4,-5,-2,0,0,1,1
-3,-14,4,1,-2,0,-1,-2
0,-2,-12,-4,-2,-1,-2,-3
1,-8,9,3,0,-1,-2,-1
0,0,-5,-1,-1,-3,1,0
-13,-10,-5,0,-1,0,0,-2
2,4,6,-1,1,0,-3,-1
2,0,-20,-4,-2,-2,1,0
-4,0,7,1,-2,-2,0,-1
2,1,-2,-1,-2,-1,-1,3
18,0,-10,-3,-1,0,1,1
-9,-10,-12,-4,-3,-2,-5,-4
0,-1,3,0,0,-1,-3,-1
-2,3,-5,-3,-2,-3,-2,1
-4,-6,0,-2,1,-1,0,1
1,4,5,1,-3,-1,-1,-2
-3,-3,-5,-1,0,0,0,-1
-2,-1,1,-2,1,0,0,-2
-3,2,4,0,-3,-3,-1,-1
